FFT_analysis X,FFT_analysis YRe,FFT_analysis YReImag
0,1.419561821753175e-05,0
500000,2.38283270761501e-14,4.865334126651122e-13
1000000,2.796737002338709e-14,2.326333980923804e-13
1500000,2.005931853155286e-14,1.502997466095039e-13
2000000,1.678698827683983e-14,1.115225532685517e-13
2500000,1.75181548268569e-14,9.308225698431985e-14
3000000,1.953070006387143e-14,7.247559604097733e-14
3500000,6.772868295615466e-15,9.976890431553377e-14
4000000,-1.037253914450377e-07,-1.186151821179965e-07
4500000,-3.476163670404221e-14,5.359694862076873e-14
5000000,-7.390543912867641e-16,2.887425941824209e-14
5500000,-4.077823087130129e-15,2.79392977522845e-14
6000000,1.348048750323986e-15,2.663013582181139e-14
6500000,6.600130520578696e-15,2.196047984002417e-14
7000000,3.886500250222476e-15,1.642793659025849e-14
7500000,3.706048315216091e-14,3.528570708866981e-14
8000000,1.330671922903545e-08,-3.06121321730134e-08
8500000,-4.860938386853366e-15,6.184103629678367e-14
9000000,-1.495119348658502e-14,2.224472847795605e-14
9500000,-1.149720992003039e-14,2.537289380538953e-14
10000000,-8.335886587296876e-15,1.944475460559771e-14
10500000,-7.198073804087858e-15,1.44647931114807e-14
11000000,-1.023427433526366e-14,1.280617238550038e-14
11500000,1.494622749502531e-14,-1.738409801367377e-15
12000000,-1.055906986725967e-07,-8.952205957926394e-08
12500000,2.031408607939097e-14,3.484280373918773e-14
13000000,-7.660399900363026e-15,2.724114218868326e-14
13500000,-4.301777281626167e-15,2.587780602725027e-14
14000000,-6.108135984441144e-15,2.160688789446214e-14
14500000,-8.395724355082004e-15,1.930850808319241e-14
15000000,-9.573145710694736e-15,2.057186131406829e-14
15500000,-1.228851972403939e-14,5.526709112419339e-16
16000000,-4.983737306204012e-07,6.224522537012628e-07
16500000,1.185675598219582e-14,5.571174999681559e-15
17000000,6.694844713824523e-16,2.059862955673643e-14
17500000,-4.342554161292182e-16,1.773873639273696e-14
18000000,-3.483666129896726e-15,1.786751332294883e-14
18500000,-9.966316048532515e-15,1.785814298827032e-14
19000000,-7.512967165140876e-15,2.334921602008669e-14
19500000,-3.484365483745512e-14,-9.039691781216071e-15
20000000,1.723601276988791e-07,-5.609013554537054e-08
20500000,1.711692573528107e-14,-2.651426340665745e-14
21000000,1.55646466339171e-14,1.589306800842924e-14
21500000,1.402628154241677e-14,1.032602510004275e-14
22000000,9.066927116659263e-15,1.417765002862287e-14
22500000,7.819077494991833e-15,1.817304252839257e-14
23000000,1.035439581698407e-14,1.871578871019128e-14
23500000,-1.777552148456826e-14,3.159256124752189e-14
24000000,4.878970425060828e-08,2.739009753940452e-08
24500000,-2.041516705413975e-14,-9.803238262354826e-15
25000000,8.93190819262078e-15,-4.512195427915381e-16
25500000,4.639490625602157e-15,8.646381478404539e-16
26000000,6.485550896559566e-15,4.957473114449517e-15
26500000,7.359437084760768e-15,9.065583078617249e-15
27000000,1.143115629731129e-14,7.49646737525638e-15
27500000,-3.855370217460535e-15,2.923705864436646e-14
28000000,4.477082720414349e-08,-3.914923685993625e-08
28500000,-2.214914692055709e-14,6.248176000459577e-16
29000000,3.947610968374603e-15,-4.422716152872997e-15
29500000,2.558202430956259e-15,-2.656954234443327e-15
30000000,5.957201641878962e-15,-3.255107667563451e-16
30500000,1.297575381129751e-14,1.123662760468895e-15
31000000,1.211207414032624e-14,-5.11622708676135e-15
31500000,3.233506581903732e-14,3.810577755064275e-14
32000000,6.800491726492951e-07,-4.676996147393459e-08
32500000,-3.037460420089729e-14,4.113886548733515e-14
33000000,-1.566524198225342e-14,-4.968993434043929e-15
33500000,-1.54920636752736e-14,1.357993407145858e-15
34000000,-9.02503846571107e-15,-1.556479455330543e-15
34500000,-6.644546299621633e-15,-5.473768672957881e-15
35000000,-9.136810365500689e-15,-6.78697249124916e-15
35500000,2.31347170671045e-14,-1.428249874854165e-14
36000000,-7.501322822097373e-08,7.568987766652773e-08
