FFT_analysis (Idc=2e-06) X,FFT_analysis (Idc=2e-06) YRe,FFT_analysis (Idc=2e-06) YReImag
0,5.285793691402625e-05,0
500000,4.350795228901079e-09,1.291040485794501e-10
1000000,4.360890498061535e-09,2.579856744546175e-10
1500000,4.377657140064607e-09,3.863522641848231e-10
2000000,4.401106847452544e-09,5.139615671017791e-10
2500000,4.431211365002964e-09,6.405612873875457e-10
3000000,4.467930427744412e-09,7.658859526131038e-10
3500000,4.511205555110491e-09,8.897398322712288e-10
4000000,-1.53221341282953e-07,-1.230381753438979e-07
4500000,4.617173049499664e-09,1.131871765860507e-09
5000000,4.679846542575444e-09,1.249719237636361e-09
5500000,4.748832968447447e-09,1.365132397071211e-09
6000000,4.824104150438948e-09,1.477838233796558e-09
6500000,4.905578218938247e-09,1.587599105108513e-09
7000000,4.993178194718315e-09,1.694172150588667e-09
7500000,5.086855564393276e-09,1.797336734473092e-09
8000000,1.355808330150837e-08,-1.932007164957436e-08
8500000,5.291922491595899e-09,1.992291440142083e-09
9000000,5.403167998407586e-09,2.083535582770291e-09
9500000,5.520049824917493e-09,2.170328493466932e-09
10000000,5.642427268748723e-09,2.252348078651473e-09
10500000,5.770133712615309e-09,2.329326355464195e-09
11000000,5.902986023452819e-09,2.40099842549236e-09
11500000,6.040827073666266e-09,2.467086445529219e-09
12000000,-1.555212502729309e-07,-6.599074415016451e-08
12500000,6.330446046229228e-09,2.581566180679708e-09
13000000,6.481723187115217e-09,2.62939355664871e-09
13500000,6.637008269268197e-09,2.670683054459809e-09
14000000,6.79598806816019e-09,2.705216933518735e-09
14500000,6.958372907501592e-09,2.732801645365039e-09
15000000,7.123862493030307e-09,2.753272723526382e-09
15500000,7.292149674086772e-09,2.766422721718701e-09
16000000,-8.920990349912354e-07,-2.480966402837443e-07
16500000,7.635955981998248e-09,2.770446205766876e-09
17000000,7.810778191487471e-09,2.760993410109412e-09
17500000,7.987156749316484e-09,2.743703856441704e-09
18000000,8.164725098787852e-09,2.718513999291694e-09
18500000,8.343154026365969e-09,2.685326773748841e-09
19000000,8.522090563680037e-09,2.644060983573782e-09
