FFT_analysis (Idc=6.5e-06) X,FFT_analysis (Idc=6.5e-06) YRe,FFT_analysis (Idc=6.5e-06) YReImag
0,8.729189913250944e-05,0
500000,-1.229803552140521e-07,-2.170627687216182e-08
1000000,-9.971320861284847e-08,5.977372011209354e-08
1500000,-1.655081595296318e-07,1.534137574711711e-08
2000000,4.384008309535482e-08,1.021157559774919e-07
2500000,-9.479109857336545e-08,-5.894335427224472e-08
3000000,-6.031632288866435e-08,-2.619255420194122e-08
3500000,-2.291674879616505e-07,2.133658336734416e-08
4000000,-1.322651252448306e-07,9.545011657028602e-08
4500000,-1.081297951174594e-07,-4.688495030442435e-09
5000000,-6.810826941093135e-08,-2.668424980941453e-08
5500000,-3.8908616788895e-08,-3.048047493108156e-07
6000000,-3.626159189687232e-07,1.318841348840869e-07
6500000,-1.657185630577379e-07,-2.735408829668441e-07
7000000,1.623658088381909e-08,-2.699659109755634e-07
7500000,-4.822295578065756e-08,-7.672755827212982e-08
8000000,-3.515195088273335e-08,8.354783135557395e-08
8500000,-2.145706359416854e-07,-1.568289580141784e-07
9000000,4.341663921320961e-09,-3.152126834591017e-07
9500000,-2.564992773922253e-07,-6.417070812409399e-07
10000000,-1.864815639769601e-07,2.351101582915844e-07
10500000,-2.957778068130742e-07,-2.762657450307577e-07
11000000,2.882059901369852e-07,-4.950233960694534e-07
11500000,1.457298855921523e-06,3.12659157611071e-06
12000000,3.322599970434091e-07,-1.319285150323094e-07
12500000,-7.001925784214676e-08,1.580858627909618e-07
13000000,-1.808884056661002e-07,-2.154596745910141e-07
13500000,2.214151879074655e-08,4.551141850533e-07
14000000,2.951157961158123e-07,-1.015564800424329e-08
14500000,2.96011922663285e-08,1.138842868059169e-07
15000000,-2.158934464724573e-07,-1.202402001744301e-07
15500000,-2.775447235278064e-07,3.044454168221215e-07
16000000,-5.49733631721953e-07,5.703592905207827e-07
16500000,1.13316164352748e-07,2.705263223911421e-08
17000000,1.97138422601798e-07,-1.095974560198604e-07
17500000,-3.742488013618889e-07,-1.073312379322348e-07
18000000,5.510406322745187e-08,-2.097571480681516e-07
18500000,1.526993587724663e-07,-1.335885000667964e-07
19000000,1.127721561166993e-07,-9.882219015047412e-08
19500000,-2.393791769857038e-07,9.521671761178482e-08
20000000,-4.109269464112921e-08,-1.347722395307124e-07
20500000,7.472615355336222e-08,-3.037391209794158e-07
21000000,2.869659641591697e-07,-8.947088340174176e-07
21500000,-5.369349913537962e-07,1.380476764248083e-07
22000000,-6.934107153137885e-08,-4.169086260941997e-07
22500000,5.640982146658066e-07,-2.800851951147695e-07
23000000,-3.155868813016622e-07,1.882748404586361e-06
23500000,4.879315154078344e-07,3.562806794882364e-07
24000000,1.025022677611797e-08,1.700353166514054e-07
24500000,9.919019028145939e-09,-2.317739259715663e-07
25000000,-2.770322645884031e-07,3.620252127699225e-07
25500000,3.184765226311694e-07,2.330692793295848e-07
26000000,3.058091970254884e-08,2.150951229774941e-07
26500000,-5.63450779299981e-08,-1.543317150319902e-07
27000000,-6.143380965870077e-07,9.05874202029743e-08
27500000,3.105543971442877e-07,4.085830784712428e-08
28000000,1.807474072963932e-07,3.460417658512317e-08
28500000,2.748091390839606e-07,1.438810400695019e-07
29000000,-2.721269339191767e-07,-2.948861624635099e-07
29500000,3.18828574591844e-08,-5.529670579219033e-08
30000000,1.691964233151465e-07,-2.716908312962096e-08
30500000,2.493728905446524e-07,9.920056045509903e-08
31000000,-2.269344475894579e-07,-4.675165198273612e-08
31500000,-1.365147867269392e-07,-1.121543382544244e-07
