freq_4p25u,mag_4p25u,freq_4p5u,mag_4p5u
1200000000,8.687607554055473e-05,1200000000,9.32824813793498e-05
0,8.655733618482045e-05,0,8.752015689392639e-05
99999999.99999999,7.345752038357904e-05,99999999.99999999,7.510817856867666e-05
3500000000,5.8833868995878915e-05,399999999.9999999,4.4656237930695214e-05
3600000000,5.350624165371541e-05,200000000,4.317900026883567e-05
3400000000,5.278985005462656e-05,1400000000,4.118321182748407e-05
1100000000,5.0557741839056185e-05,799999999.9999999,4.110386157875108e-05
2200000000,4.4794836231052474e-05,1100000000,4.1040640064264184e-05
1400000000,4.3871254583892325e-05,999999999.9999999,4.074235397088023e-05
200000000,4.383486805429473e-05,1600000000,3.9997342085845135e-05
399999999.9999999,4.275175932878289e-05,599999999.9999999,3.994417559339332e-05
599999999.9999999,4.228078247052449e-05,7199999999.999999,3.9372889860845866e-05
1600000000,4.047309345379499e-05,1800000000,3.935833399844107e-05
3200000000,4.002146100903067e-05,2200000000,3.796521946730447e-05
3800000000,3.983394141579882e-05,2000000000,3.675762723804654e-05
4000000000,3.7948503424847785e-05,3700000000,3.6200121742827834e-05
3000000000,3.786308239491614e-05,3500000000,3.51362680662261e-05
4799999999.999999,3.784740589375385e-05,2600000000,3.4628712937177875e-05
1800000000,3.77731852737929e-05,2800000000,3.4608925847062805e-05
2000000000,3.700410729457349e-05,3000000000,3.3463272562752026e-05
799999999.9999999,3.620554944792691e-05,5999999999.999999,3.309727758597652e-05
2800000000,3.598163385192617e-05,3400000000,3.296253416665138e-05
4200000000,3.578854270588464e-05,3200000000,3.188498471699005e-05
6999999999.999999,3.5551469313291766e-05,299999999.9999999,3.176435059924501e-05
4699999999.999999,3.478497657810585e-05,7599999999.999999,2.9393052856512493e-05
2600000000,3.1794108623969365e-05,4399999999.999999,2.838621998997788e-05
4999999999.999999,3.139588502555981e-05,1300000000,2.8191832726445177e-05
999999999.9999999,3.137355738909369e-05,4599999999.999999,2.8071511685920783e-05
4399999999.999999,3.1175680302414675e-05,3800000000,2.8050315168877315e-05
299999999.9999999,3.0008870639556694e-05,4000000000,2.782155513089009e-05
4599999999.999999,2.7955943896889797e-05,4200000000,2.7636038736505114e-05
2400000000,2.7426574763607207e-05,3600000000,2.7355135716173517e-05
5199999999.999999,2.7375358771159243e-05,699999999.9999999,2.6980850283628404e-05
5399999999.999999,2.5818548249007346e-05,2500000000,2.681362572966838e-05
7799999999.999999,2.5049904018260255e-05,5599999999.999999,2.6096452089585083e-05
2300000000,2.4428040612498113e-05,5399999999.999999,2.5230895043709166e-05
499999999.9999999,2.380905707096461e-05,4999999999.999999,2.514670640620874e-05
1300000000,2.3135445031878402e-05,6199999999.999999,2.4812204843428558e-05
899999999.9999999,2.2828458640841514e-05,5799999999.999999,2.4652070988850395e-05
7199999999.999999,2.2768330717668267e-05,7399999999.999999,2.4082642961757614e-05
7399999999.999999,2.2332636772978177e-05,499999999.9999999,2.3996502129845663e-05
7599999999.999999,2.212726260508501e-05,6799999999.999999,2.388575010080028e-05
5799999999.999999,2.146343739546174e-05,6599999999.999999,2.3607179403474555e-05
6799999999.999999,2.08482682939212e-05,6999999999.999999,2.3199171276314443e-05
6199999999.999999,1.9827474709983276e-05,899999999.9999999,2.3098798958086642e-05
699999999.9999999,1.9660459274053763e-05,6399999999.999999,2.2706131759138335e-05
5999999999.999999,1.89699076553665e-05,5199999999.999999,2.2342129167230575e-05
5599999999.999999,1.887483885711859e-05,7799999999.999999,2.232401486947615e-05
6399999999.999999,1.8226639029256243e-05,4699999999.999999,2.0056500935570005e-05
6599999999.999999,1.755578407630067e-05,4899999999.999999,1.4007904019310057e-05
